id;name
122;Danske Invest China A
2593;Danske Invest Eastern Europe exRussia A
52229;SKAGEN Tellus A
232949;AS SICAV I Japanese Eq S Acc JPY
1557;UBS (Lux) ES US Opp $ P Acc
246028;Franklin Global Real Estate A(acc)EUR-H1
864973;Evli GEM B
2191;MS INVF EMEA Equity A
380137;Nordea Global Passiv Tillväxt SEK
901093;SPP Global Multifactor Plus A
202315;Mirae Asset Korea Equity A USD
2156;Länsförsäkringar Tillväxtmarknad Aktiv A
383302;Nordea 1 - Emerging Mkt Corp Bd HB SEK
506277;Janus Henderson Hrzn Euro Corp Bd A2 EUR
242;Fidelity European Multi Asset Inc A-Dis€
2344;Fidelity Global Industrials A-Dis-EUR
1573;BGF US Flexible Equity A2
599;SPP Aktiefond Europa
2028;Handelsbanken Kortränta (A1 SEK)
1040039;HealthInvest Small & MicroCap Fund D
378651;CS (Lux) Asia Local Currency Bd B USD
281970;BNP Paribas Brazil Equity C C
2131;Cicero Avkastningsfond A
696433;Origo Quest 1 C
330741;Cicero World 0-50
180868;Pictet-Nutrition P EUR
415683;BNP Paribas China Eq Cl C
430255;Öhman Sverige Hållbar A
443897;BSF Emerging Markets Abs Ret A2 USD
1333;Pictet-Japanese Equity Opps R JPY
413679;INVL Russia TOP20
388595;Öhman FRN Hållbar A
350438;Fidelity Glb Dmgrphcs A-Acc-USD
40567;Nordea Stabil
1011196;Consensus Småbolag A
464;Handelsbanken Hälsovård Tema (A1 SEK)
367456;East Capital Global EM Sustainable A SEK
831733;AS SICAV I Euro Govt Bd A Acc EUR
674;UBS (Lux) EF European Oppo (EUR) P
64710;Strand Småbolagsfond
1964;Enter Sverige Pro
974382;Nordea 1 - Long Duration US Bd BP SEK
841;Fidelity Euro Cash A-Dis-EUR
241953;AS SICAV I Eurp Eq Div S Acc EUR
321871;DNB Teknologi A
30788;RobecoSAM Smart Energy B EUR
2343;Fidelity World A-Dis-EUR
891314;Invesco Japanese Equity Core A USD AD
679796;Didner & Gerge US Small and Microcap
817393;Nordic Cross Small Cap Edge R SEK
435457;Invesco Global Ttl Ret EUR Bd A SEKH Acc
289977;Threadneedle (Lux) Global Tech AU USD
15209;Janus Henderson Emerging Markets R$ Acc
1556;JPM US Select Equity A (acc) USD
74111;Holberg Norden A
648075;Simplicity Sverige
590078;MS INVF European Fixed Inc Opps A
380220;Evli Short Corporate Bond B SEK
907815;Swedbank Robur Selection 75
159177;Pictet-Russian Equities P USD
981;SEB WWF Nordenfond
106728;PriorNilsson Yield
1506;Öhman Etisk Index USA A
1041067;Avanza Europa
219829;Jupiter China Select L USD Acc
1015114;AuAg Silver Bullet A
2375;Danske Invest Europe High Dividend A
411417;Tundra Frontier Africa Fund A SEK
92873;Jupiter European Opps L EUR Acc
447115;SEB Korträntefond SEK – Lux utd
457577;SEB Dynamisk Räntefond SEK – Lux
933481;SEB Hållbar Faktor Emerging Markets A
58;BGF Asian Dragon A2
201630;Lancelot Ector Master Fund SB
39649;Templeton BRIC A(acc)USD
2021;SEB Obligation Flexibel D SEK - Lux utd
996615;Evli Equity Factor USA B
523895;Coeli Global Selektiv R SEK
1316;JPM Japan Select Equity A (acc) JPY
2075;Nordea Obligationsfond icke-utd
244488;JPM ASEAN Equity A (acc) USD
655395;Rhenman Global Opportunities L/S RC1 SEK
187208;Caprifol Nordiska Fonden
670776;BNP Paribas Aqua C C
417084;Pareto Nordic Corporate Bond C
559855;Ålandsbanken Norden Aktie EUR
70541;Invesco Pan Eurp Struct Rspnb Eq AEURAcc
1651;SEB Nordenfond
965039;Invesco Renminbi Fixed Income A USD Acc
513575;Handelsbanken Europa Selektiv
2187;Templeton Emerging Markets A(acc)USD
244836;Janus Henderson Hrzn Euro Corp Bd A2HSEK
801500;Danske Invest Sverige Ränta SA
440901;HSBC GIF Global EM Bd AC
691677;MS INVF Emerging Mkts FI Opps A
901674;INVL Global Emerging Markets Bond
206;Swedbank Robur Access Mix
33236;JPM Latin America Equity A (acc) USD
924013;BMO Global Low Vol Alpha Eq A USD Acc
888654;Schroder ISF China A A Acc USD
894874;FIM IG Green ESG
351738;Fidelity Em Mkts Infl-Lnkd Bd A-Acc-EUR
94;Invesco Greater China Equity A USD Acc
592236;Swedbank Robur Access Europa
89347;Fidelity Em Eurp Mdl Est&Afr A-Acc-USD
195872;SEB Nordenfond Småbolag C EUR - Lux
551875;CF Bull
2300;AMF Aktiefond Världen
891316;Invesco Global High Income A USD SD
478;SEB Bioteknikfond D EUR - Lux utd
70031;AS SICAV I Asn Smllr Coms A Acc USD
