id;ticker;name;market;field
596497;CGC;Caldas Gold Corp;TSX Venture Exchange;-
1036031;GRSL;GR Silver Mining Ltd;TSX Venture Exchange;-
76592;AXM;AXMIN Inc;TSX Venture Exchange;-
269568;VRS.H;Verisante Technology Inc;TSX Venture Exchange;Sjukvård
524115;QSR;Restaurant Brands International Inc;Toronto Stock Exchange;Konsument, cyklisk
1022861;ULT;Ultra Resources Inc;TSX Venture Exchange;Råvaror
84548;ARG;Amerigo Resources Ltd;Toronto Stock Exchange;Råvaror
789375;GIII;Gen III Oil Corp;TSX Venture Exchange;Energi
434268;XIM;Ximen Mining Corp;TSX Venture Exchange;Råvaror
806792;CHC.H;CHC Student Housing Corp;TSX Venture Exchange;-
807533;SSA;Spectra Products Inc;TSX Venture Exchange;-
343235;ZC;Zimtu Capital Corp;TSX Venture Exchange;-
266481;SXP;Supremex Inc;Toronto Stock Exchange;Konsument, cyklisk
828175;MRI;Meridius Resources Ltd;TSX Venture Exchange;-
806993;MAS;MAS Gold Corp;TSX Venture Exchange;-
807057;NU;NeutriSci International Inc;TSX Venture Exchange;Sjukvård
806999;MAE;Maritime Resources Corp;TSX Venture Exchange;-
942334;STIL;Stillcanna Inc;Canadian Securities Exchange;-
706714;MET;Metalore Resources Ltd;TSX Venture Exchange;-
868696;BHC;Bausch Health Companies Inc;Toronto Stock Exchange;Sjukvård
741454;NPA;Alphinat Inc;TSX Venture Exchange;-
580656;SEV;Spectra7 Microsystems Inc;Toronto Stock Exchange;Teknik
856541;PATH;CounterPath Corp;Toronto Stock Exchange;Teknik
490461;DRA.UN;Dream Hard Asset Alternatives Trust;Toronto Stock Exchange;Fastigheter
279901;MEK;Metals Creek Resources Corp;TSX Venture Exchange;-
861067;CHW;Chesswood Group Ltd;Toronto Stock Exchange;Finans
806820;DHR;Discovery Harbour Resources Corp;TSX Venture Exchange;-
1070316;NGY;Nexera Energy Inc;TSX Venture Exchange;-
954509;ATHR;Aether Catalyst Solutions Inc;Canadian Securities Exchange;-
1082465;PMED;Predictmedix Inc;Canadian Securities Exchange;-
290656;OMM;Omineca Mining and Metals Ltd;TSX Venture Exchange;-
502813;ABG.H;Amg Bioenergy Resources Holdings Ltd;TSX Venture Exchange;-
807582;TGR;Tiger International Resources Inc;TSX Venture Exchange;-
542935;USF.UN;U.S. Financials Income Fund;Toronto Stock Exchange;-
224416;CPS;Canadian Premium Sand Inc;TSX Venture Exchange;-
806991;OVT;Oculus VisionTech Inc;TSX Venture Exchange;-
794364;YCM;New Commerce Split Corp;Toronto Stock Exchange;-
